City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Acarau,BR,78.39,scattered clouds,-2.8856,-40.12,castelo pizzaria
540,Shangqiu,CN,88.18,clear sky,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
541,Najran,SA,78.91,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
542,Forestville,US,76.1,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
546,Rairangpur,IN,86.23,light rain,22.2676,86.1751,@𝓞𝓜𝓜 𝓝𝓘𝓝𝓘 𝓜𝓘𝓛𝓛 𝓗𝓞𝓣𝓔𝓛
547,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
548,Coahuayana,MX,76.68,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
552,Longview,US,84.88,overcast clouds,32.5007,-94.7405,Homewood Suites by Hilton Longview
559,Yerbogachen,RU,77.9,broken clouds,61.2767,108.0108,
562,Marsh Harbour,BS,81.5,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
565,Ugoofaaru,MV,81.82,broken clouds,5.6667,73.0,Ungoofaaru Inn
568,Kudahuvadhoo,MV,82.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
571,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
572,Tommot,RU,88.02,scattered clouds,58.9564,126.2925,Gostinitsa Tommot
575,Tahe,CN,81.28,scattered clouds,52.3333,124.7333,塔河宾馆
577,Vaitape,PF,79.54,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
579,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
580,Kavaratti,IN,81.32,overcast clouds,10.5669,72.642,Green leaf
585,Matara,LK,82.47,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
586,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
587,Nizwa,OM,88.77,scattered clouds,22.9333,57.5333,Orient Apartments
588,Katobu,ID,85.71,few clouds,-4.9408,122.5276,La Ode Husein
592,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
595,Duncan,US,87.69,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
598,Tutoia,BR,77.25,broken clouds,-2.7619,-42.2744,Pousada Guará's
600,Wahiawa,US,79.12,clear sky,21.5028,-158.0236,The Inn At Schofield
604,Agadez,NE,85.44,broken clouds,19.75,10.25,
608,Langarud,IR,78.85,light rain,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
609,Bambey,SN,77.27,moderate rain,14.6955,-16.4493,Dolicile Mouhamadou Kabir SALL
611,Zyryanka,RU,75.6,clear sky,65.75,150.85,
613,Seoul,KR,81.79,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
614,Basco,PH,85.21,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
617,Chumikan,RU,78.55,scattered clouds,54.7183,135.315,Fortuna
618,Giddalur,IN,83.12,overcast clouds,15.35,78.9167,Shivaji Lodge
620,Capoterra,IT,76.53,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
625,Mokhsogollokh,RU,82.08,clear sky,61.4681,128.9203,
626,Yarmouth,US,77.11,clear sky,41.7057,-70.2286,Blue Rock Resort
629,Aswan,EG,87.84,broken clouds,24.0934,32.907,Nuba Nile
632,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
633,Kattivakkam,IN,87.8,overcast clouds,13.2167,80.3167,Euronova Freezer
636,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
637,Finschhafen,PG,84.72,scattered clouds,-6.6024,147.8681,Cossam Guest House
638,Evanston,US,81.72,scattered clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
639,Kudligi,IN,77.77,broken clouds,14.9,76.3833,Thyagaraja Egg Rice Center
641,Garowe,SO,77.61,broken clouds,8.4054,48.4845,Curubo Hotel
642,Contamana,PE,77.49,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
643,Oum Hadjer,TD,81.5,scattered clouds,13.2954,19.6966,
644,Solnechnyy,RU,76.95,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
645,Imelda,PH,83.95,overcast clouds,7.65,123.95,
646,Sumenep,ID,83.7,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
649,Chifeng,CN,83.32,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
651,Nanakuli,US,77.7,clear sky,21.3906,-158.1547,Camp Pālehua
652,Filadelfia,US,83.01,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
678,Goundam,ML,86.16,scattered clouds,16.4145,-3.6708,
679,Ust-Kuyga,RU,75.29,few clouds,70.0167,135.6,
680,Beni Suef,EG,77.72,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
681,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
