City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
236,Sao Filipe,CV,14.8961,-24.4956,77.68,84,94,10.92,overcast clouds
237,Ca Mau,VN,9.1769,105.15,86.9,65,95,6.24,overcast clouds
238,Port Elizabeth,ZA,-33.918,25.5701,52.11,66,88,4.59,overcast clouds
239,Rezina,MD,47.7492,28.9622,61.77,92,1,9.69,clear sky
240,Saint-Louis,SN,16.3333,-15.0,82.69,69,94,12.17,overcast clouds
241,Qasigiannguit,GL,68.8193,-51.1922,36.88,98,99,1.61,overcast clouds
242,Vostok,RU,46.4856,135.8833,69.66,85,91,2.42,overcast clouds
243,Otradnoye,RU,59.7775,30.8181,63.97,94,34,3.09,scattered clouds
244,Tiebissou,CI,7.1574,-5.2257,71.04,97,100,3.91,overcast clouds
245,Pevek,RU,69.7008,170.3133,36.7,88,96,1.86,overcast clouds
246,Lompoc,US,34.6391,-120.4579,66.78,82,100,10.36,overcast clouds
247,Ulaanbaatar,MN,47.9077,106.8832,62.73,63,75,6.71,broken clouds
248,Uni,RU,57.7535,51.4923,68.58,85,41,3.42,scattered clouds
249,Puerto Carreno,CO,6.189,-67.4859,75.27,93,100,4.5,overcast clouds
250,Port Shepstone,ZA,-30.7414,30.455,59.29,60,67,19.57,broken clouds
251,Kununurra,AU,-15.7667,128.7333,84.18,15,10,3.44,clear sky
252,Kattivakkam,IN,13.2167,80.3167,86.09,86,80,11.36,broken clouds
253,Verkhnevilyuysk,RU,63.4453,120.3167,80.42,50,40,9.46,scattered clouds
254,Tarko-Sale,RU,64.9225,77.785,57.0,68,74,16.96,broken clouds
255,Dukat,RU,62.55,155.55,65.12,29,5,3.09,clear sky
256,Okhotsk,RU,59.3833,143.3,54.81,92,100,9.95,light rain
257,Praia,CV,14.9215,-23.5087,79.34,89,40,6.91,scattered clouds
258,Kristiansund,NO,63.1115,7.732,61.45,82,100,5.75,light rain
259,Thompson,CA,55.7435,-97.8558,57.83,59,97,3.09,overcast clouds
260,Takab,IR,36.4009,47.1133,61.59,70,0,2.01,clear sky
261,Touros,BR,-5.1989,-35.4608,73.35,73,77,16.22,broken clouds
262,Puerto Quijarro,BO,-17.7833,-57.7667,74.32,43,0,2.19,clear sky
263,Chegdomyn,RU,51.1167,133.0167,81.7,50,0,3.53,clear sky
264,Dikson,RU,73.5069,80.5464,48.51,96,100,11.32,light rain
265,Umm Lajj,SA,25.0213,37.2685,81.72,86,85,13.47,overcast clouds
266,Ayna,PE,-12.65,-73.9167,59.27,87,80,3.31,broken clouds
267,Karratha,AU,-20.7377,116.8463,73.22,32,0,23.35,clear sky
268,Pizarro,CO,4.9533,-77.366,76.69,90,98,6.08,moderate rain
269,Vila Velha,BR,-20.3297,-40.2925,66.94,90,75,3.44,broken clouds
270,Geraldton,AU,-28.7667,114.6,59.41,63,0,16.11,clear sky
271,Carballo,ES,43.213,-8.691,64.87,89,65,1.86,broken clouds
272,College,US,64.8569,-147.8028,75.07,32,40,3.44,scattered clouds
273,La Paz,BO,-16.5,-68.15,39.18,87,20,6.91,few clouds
